Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Speed,Total Ascent,Total Descent,Number of Laps
Cycling,2026-06-06 11:22:00,false,Morning Ride,33.70,657,1:00:02,127,149,1.8,33.7,330,284,5
Running,2026-06-03 09:11:00,false,Evening Run,11.07,616,1:06:35,139,156,2.5,6:01,183,176,5
Running,2026-05-27 11:56:00,false,Morning Run,10.26,543,0:59:48,159,179,3.6,5:50,129,140,4
Cycling,2026-05-26 07:50:00,false,Morning Ride,34.97,865,1:32:32,129,151,2.2,22.7,392,353,7
Cycling,2026-05-24 19:26:00,false,Morning Ride,24.97,663,0:59:52,130,146,1.9,25.0,377,398,4
Running,2026-05-24 15:39:00,false,Evening Run,6.36,357,0:30:27,149,177,2.4,4:47,36,34,2
Cycling,2026-05-23 19:59:00,false,Club Ride,21.53,641,0:51:45,122,142,1.5,25.0,338,366,4
Cycling,2026-05-21 12:55:00,false,Evening Ride,59.77,"1,008",2:03:53,130,155,2.5,29.0,338,334,10
Walking,2026-05-20 11:37:00,false,Walk,2.19,214,0:24:59,96,120,0.6,5.3,4,4,2
Walking,2026-05-19 09:00:00,false,Evening Walk,2.69,269,0:31:25,89,107,0.5,5.1,30,31,2
Cycling,2026-05-16 06:46:00,false,Morning Ride,51.13,"1,504",2:12:44,146,174,3.5,23.1,239,222,11
Running,2026-05-09 15:45:00,false,Long Run,4.31,224,0:23:55,139,156,1.8,5:33,35,38,1
Walking,2026-05-08 09:41:00,false,Walk,3.68,510,0:42:02,113,129,1.1,5.2,33,31,3
Running,2026-05-07 11:40:00,false,Evening Run,8.76,635,0:51:45,150,162,2.9,5:55,164,148,4
Cycling,2026-05-06 13:37:00,false,Club Ride,32.74,"1,108",1:28:50,144,156,3.0,22.1,257,238,7
Walking,2026-05-06 12:40:00,false,Evening Walk,4.62,569,0:50:38,87,106,0.5,5.5,42,36,4
Cycling,2026-05-02 15:35:00,false,Evening Ride,61.02,"1,348",1:53:30,125,146,2.1,32.3,837,903,9
Running,2026-04-30 10:05:00,false,Long Run,10.34,713,1:02:04,142,160,2.6,6:00,162,169,5
Running,2026-04-28 07:03:00,false,Long Run,2.67,192,0:16:00,128,149,1.2,5:59,41,39,1
Running,2026-04-26 12:56:00,false,Long Run,6.38,380,0:38:20,160,180,3.2,6:00,81,70,3
Cycling,2026-04-24 15:04:00,false,Morning Ride,43.21,920,1:25:59,132,160,2.3,30.2,273,241,7
Cycling,2026-04-23 12:13:00,false,Evening Ride,27.83,622,1:05:24,133,153,2.1,25.5,297,253,5
Cycling,2026-04-22 19:02:00,false,Lunch Ride,12.50,344,0:28:08,109,135,0.9,26.7,78,67,2
Cycling,2026-04-21 10:04:00,false,Morning Ride,36.05,536,1:13:15,129,158,2.0,29.5,157,145,6
Hiking,2026-04-18 07:01:00,false,Hike,10.31,"1,836",2:26:30,110,123,1.5,4.2,743,846,12
Running,2026-04-16 09:20:00,false,Long Run,6.46,468,0:42:03,153,175,2.8,6:31,121,104,3
Cycling,2026-04-14 09:09:00,false,Club Ride,48.78,"1,185",1:40:12,127,151,2.1,29.2,710,676,8
Running,2026-04-13 07:25:00,false,Lunch Run,3.68,246,0:22:53,149,166,2.2,6:14,23,25,1
Cycling,2026-04-11 19:22:00,false,Lunch Ride,30.78,511,1:12:30,151,163,3.3,25.5,320,340,6
Running,2026-04-10 17:42:00,false,Evening Run,12.74,510,0:59:12,143,172,2.6,4:39,84,91,4
Walking,2026-04-08 06:09:00,false,Evening Walk,3.16,516,0:47:07,100,122,0.8,4.0,24,21,3
Walking,2026-04-06 06:08:00,false,Evening Walk,5.51,616,1:01:11,92,121,0.7,5.4,21,23,5
Walking,2026-04-03 14:38:00,false,Walk,4.37,659,0:53:00,108,134,1.0,4.9,37,34,4
Cycling,2026-03-31 12:15:00,false,Club Ride,59.92,"1,293",2:04:17,130,149,2.5,28.9,866,888,10
Hiking,2026-03-30 18:57:00,false,Hike,14.27,"1,970",4:15:08,128,144,2.9,3.4,499,437,21
Cycling,2026-03-29 06:46:00,false,Lunch Ride,54.01,"1,472",1:54:20,144,169,3.2,28.3,398,347,9
Running,2026-03-29 06:34:00,false,Long Run,4.74,293,0:27:55,146,174,2.2,5:53,65,67,2
Cycling,2026-03-27 08:55:00,false,Lunch Ride,38.03,903,1:31:25,141,163,2.8,25.0,157,151,7
Running,2026-03-26 14:26:00,false,Morning Run,11.81,833,1:12:00,145,157,2.9,6:06,176,153,6
Running,2026-03-19 17:27:00,false,Long Run,8.89,524,0:49:31,137,165,2.1,5:34,155,174,4
Walking,2026-03-18 16:11:00,false,Evening Walk,2.07,326,0:29:39,108,123,0.9,4.2,20,19,2
Walking,2026-03-17 15:33:00,false,Walk,6.49,789,1:06:29,101,131,0.9,5.9,23,24,5
Running,2026-03-15 19:31:00,false,Evening Run,2.69,203,0:16:00,135,148,1.4,5:57,35,30,1
Cycling,2026-03-14 12:19:00,false,Club Ride,32.99,552,1:12:46,123,138,1.7,27.2,301,321,6
Running,2026-03-10 09:04:00,false,Evening Run,5.41,307,0:31:43,148,163,2.4,5:51,33,35,2
Cycling,2026-03-06 08:29:00,false,Evening Ride,33.07,602,1:05:20,135,149,2.2,30.4,308,278,5
Cycling,2026-03-03 13:19:00,false,Lunch Ride,39.86,663,1:30:11,131,155,2.2,26.5,260,298,7
Walking,2026-02-28 18:53:00,false,Walk,5.66,681,1:15:47,103,116,1.0,4.5,25,26,6
Walking,2026-02-27 17:00:00,false,Evening Walk,5.75,627,1:02:55,96,119,0.8,5.5,63,58,5
Cycling,2026-02-21 17:54:00,false,Evening Ride,39.40,720,1:20:23,117,129,1.5,29.4,615,655,6
Running,2026-02-21 15:27:00,false,Long Run,8.50,392,0:51:17,141,170,2.4,6:02,88,94,4
Running,2026-02-19 19:42:00,false,Morning Run,7.85,416,0:47:54,150,164,2.8,6:06,141,127,3
Cycling,2026-02-16 11:42:00,false,Evening Ride,54.90,"1,282",2:02:18,148,175,3.6,26.9,825,874,10
Running,2026-02-15 15:05:00,false,Evening Run,15.86,842,1:38:38,138,160,2.8,6:13,130,149,8
Cycling,2026-02-14 06:39:00,false,Evening Ride,56.79,"1,339",2:08:33,135,149,2.8,26.5,343,350,10
Cycling,2026-02-11 18:12:00,false,Lunch Ride,27.17,460,1:02:00,129,141,1.9,26.3,406,405,5
Cycling,2026-02-09 17:14:00,false,Club Ride,52.27,942,1:57:22,134,146,2.6,26.7,723,734,9
Cycling,2026-02-08 09:28:00,false,Lunch Ride,82.82,"1,991",2:51:27,141,166,3.5,29.0,1062,1154,14
Running,2026-02-01 07:25:00,false,Morning Run,3.09,125,0:16:00,150,168,2.0,5:11,51,55,1
Cycling,2026-01-30 12:25:00,false,Lunch Ride,44.69,747,1:37:56,139,165,2.8,27.4,444,480,8
Cycling,2026-01-24 09:07:00,false,Club Ride,50.34,935,1:39:08,129,149,2.2,30.5,707,725,8
Hiking,2026-01-22 10:57:00,false,Hike,16.44,"2,416",3:10:32,127,149,2.6,5.2,884,884,15
Cycling,2026-01-20 15:44:00,false,Morning Ride,33.95,942,1:15:50,130,157,2.1,26.9,339,376,6
Walking,2026-01-19 17:50:00,false,Evening Walk,2.39,294,0:32:02,93,111,0.6,4.5,23,22,2
Cycling,2026-01-11 09:04:00,false,Club Ride,21.27,521,0:51:53,133,147,2.0,24.6,311,306,4
Cycling,2026-01-10 08:35:00,false,Morning Ride,52.46,"1,072",2:10:56,146,169,3.5,24.0,492,445,10
Cycling,2026-01-09 10:37:00,false,Morning Ride,29.62,458,1:02:36,121,148,1.6,28.4,238,258,5
Cycling,2026-01-08 18:21:00,false,Lunch Ride,38.82,"1,053",1:34:42,135,159,2.5,24.6,588,565,7
Cycling,2026-01-01 13:05:00,false,Evening Ride,48.87,"1,153",1:35:18,119,133,1.7,30.8,633,552,7
Cycling,2026-01-01 06:54:00,false,Morning Ride,32.24,444,0:59:14,104,116,1.0,32.7,500,426,4
Cycling,2025-12-30 16:05:00,false,Morning Ride,36.22,"1,150",1:30:58,127,150,2.1,23.9,268,272,7
Cycling,2025-12-28 18:58:00,false,Lunch Ride,42.93,652,1:23:38,118,134,1.6,30.8,285,269,6
Running,2025-12-24 14:42:00,false,Morning Run,15.85,"1,194",1:37:25,142,171,3.0,6:09,308,299,8
Cycling,2025-12-20 12:14:00,false,Lunch Ride,64.51,"1,240",2:07:50,152,170,4.0,30.3,303,346,10
Walking,2025-12-14 14:03:00,false,Walk,2.51,289,0:34:00,102,113,0.8,4.4,9,9,2
Cycling,2025-12-11 18:45:00,false,Evening Ride,31.65,608,0:58:15,130,156,1.9,32.6,441,505,4
Cycling,2025-12-08 10:18:00,false,Club Ride,10.09,225,0:22:00,117,144,1.0,27.5,118,131,1
Cycling,2025-12-08 05:59:00,false,Evening Ride,30.03,648,1:03:45,132,161,2.0,28.3,135,132,5
Cycling,2025-12-07 10:44:00,false,Lunch Ride,40.54,723,1:35:16,150,169,3.5,25.5,348,388,7
Walking,2025-12-02 09:05:00,false,Evening Walk,4.87,505,0:59:47,96,113,0.8,4.9,48,54,4
Cycling,2025-11-28 19:37:00,false,Morning Ride,47.43,824,1:41:27,137,163,2.7,28.1,704,605,8
Walking,2025-11-19 12:00:00,false,Untitled,0.01,--,0:00:23,--,--,0.0,0.0,--,--,1
Running,2025-11-15 12:00:00,false,Untitled,0.01,--,0:00:14,--,--,0.0,0.0,--,--,1
Cycling,2025-11-15 09:48:00,false,Club Ride,31.55,557,1:07:21,125,145,1.8,28.1,499,485,5
Running,2025-11-12 13:26:00,false,Lunch Run,4.92,411,0:31:46,142,156,2.1,6:27,96,99,2
Cycling,2025-11-12 10:02:00,false,Evening Ride,23.76,573,0:47:23,112,129,1.1,30.1,153,144,3
Cycling,2025-11-10 08:23:00,false,Club Ride,26.10,691,0:58:07,136,156,2.2,26.9,396,441,4
Running,2025-11-09 07:47:00,false,Morning Run,12.71,541,1:11:14,158,170,3.7,5:36,225,238,5
Cycling,2025-11-03 17:28:00,false,Club Ride,62.85,"1,119",1:59:36,137,149,2.8,31.5,352,364,9
Cycling,2025-11-02 18:21:00,false,Morning Ride,46.84,"1,055",2:11:12,131,154,2.6,21.4,661,738,10
Cycling,2025-11-01 16:55:00,false,Evening Ride,23.58,381,0:48:22,146,168,2.6,29.2,114,106,4
Cycling,2025-10-29 13:06:00,false,Club Ride,33.13,968,1:15:35,114,127,1.4,26.3,528,515,6
Cycling,2025-10-22 13:39:00,false,Evening Ride,25.51,681,0:54:04,127,151,1.7,28.3,258,263,4
Cycling,2025-10-21 19:56:00,false,Lunch Ride,16.76,446,0:37:35,126,142,1.5,26.8,129,125,3
Cycling,2025-10-20 18:58:00,false,Morning Ride,10.62,213,0:24:39,122,148,1.2,25.8,86,89,2
Cycling,2025-10-19 17:50:00,false,Evening Ride,14.67,252,0:32:54,134,153,1.7,26.8,164,141,2
Running,2025-10-18 15:16:00,false,Morning Run,13.15,694,1:13:29,151,171,3.3,5:35,134,144,6
Running,2025-10-17 08:56:00,false,Long Run,6.22,469,0:41:06,151,181,2.7,6:37,87,91,3
Cycling,2025-10-12 10:58:00,false,Morning Ride,17.68,370,0:34:24,135,159,1.8,30.8,78,67,2
Cycling,2025-10-11 13:02:00,false,Club Ride,10.28,279,0:22:00,131,151,1.4,28.0,66,66,1
Cycling,2025-10-08 07:58:00,false,Club Ride,63.10,"1,117",1:53:15,141,158,3.0,33.4,326,319,9
Cycling,2025-10-07 10:32:00,false,Evening Ride,31.16,859,1:17:08,127,141,2.0,24.2,349,324,6
Cycling,2025-10-06 13:27:00,false,Evening Ride,58.08,"1,218",1:49:27,121,150,1.9,31.8,583,577,9
Walking,2025-10-06 05:20:00,false,Walk,3.66,478,0:51:52,92,115,0.6,4.2,19,21,4
Cycling,2025-09-29 11:17:00,false,Evening Ride,19.23,420,0:48:39,126,154,1.6,23.7,285,263,4
Running,2025-09-28 13:45:00,false,Lunch Run,14.32,795,1:18:40,141,163,2.7,5:30,182,196,6
Running,2025-09-27 05:00:00,false,Long Run,2.71,206,0:16:00,144,159,1.7,5:54,50,46,1
Cycling,2025-09-26 14:06:00,false,Morning Ride,24.40,619,1:01:47,124,146,1.7,23.7,328,314,5
Cycling,2025-09-25 06:36:00,false,Evening Ride,34.43,531,1:12:32,141,163,2.6,28.5,511,446,6
Running,2025-09-24 19:32:00,false,Evening Run,5.57,231,0:31:09,158,178,2.9,5:35,108,101,2
Running,2025-09-23 05:38:00,false,Long Run,2.89,172,0:16:00,154,171,2.1,5:33,22,23,1
Walking,2025-09-22 14:57:00,false,Evening Walk,2.89,357,0:36:10,96,108,0.7,4.8,33,39,3
Walking,2025-09-18 14:02:00,false,Walk,1.75,193,0:24:53,99,116,0.6,4.2,7,8,2
Cycling,2025-09-15 15:16:00,false,Lunch Ride,47.19,"1,256",1:49:51,116,138,1.6,25.8,668,662,9
Cycling,2025-09-15 09:31:00,false,Lunch Ride,21.96,648,0:56:01,120,147,1.5,23.5,248,256,4
Cycling,2025-09-14 05:02:00,false,Evening Ride,42.86,733,1:29:48,123,145,1.8,28.6,451,385,7
Running,2025-09-13 07:46:00,false,Lunch Run,11.89,503,1:03:25,138,151,2.4,5:20,188,163,5
Running,2025-09-11 15:08:00,false,Evening Run,12.98,768,1:10:38,151,176,3.2,5:26,87,79,5
Walking,2025-09-10 14:18:00,false,Evening Walk,3.20,524,0:41:36,104,125,0.9,4.6,8,7,3
Cycling,2025-09-09 10:07:00,false,Lunch Ride,73.39,"1,304",2:11:35,134,162,2.7,33.5,510,533,10
Cycling,2025-09-04 07:13:00,false,Lunch Ride,24.66,582,0:48:46,135,160,2.0,30.3,280,297,4
Cycling,2025-09-03 17:50:00,false,Lunch Ride,46.32,"1,060",1:30:41,133,162,2.4,30.6,361,388,7
Cycling,2025-09-02 14:42:00,false,Evening Ride,28.83,469,1:06:01,146,167,2.9,26.2,164,163,5
Cycling,2025-09-01 07:03:00,false,Morning Ride,16.12,575,0:44:28,126,149,1.6,21.8,64,72,3
Cycling,2025-08-29 18:28:00,false,Club Ride,37.72,877,1:16:19,123,145,1.7,29.7,190,188,6
Cycling,2025-08-26 16:02:00,false,Morning Ride,29.33,442,0:56:44,122,148,1.6,31.0,213,202,4
Cycling,2025-08-25 12:49:00,false,Club Ride,34.47,537,1:04:50,128,147,1.9,31.9,539,546,5
Cycling,2025-08-24 11:31:00,false,Evening Ride,30.62,658,1:16:13,108,129,1.2,24.1,336,385,6
Cycling,2025-08-23 18:28:00,false,Lunch Ride,28.94,601,1:01:21,135,156,2.2,28.3,166,163,5
Cycling,2025-08-20 07:50:00,false,Club Ride,54.21,938,1:53:51,127,150,2.2,28.6,260,238,9
Cycling,2025-08-19 08:01:00,false,Morning Ride,36.26,590,1:17:23,124,138,1.8,28.1,397,347,6
Cycling,2025-08-17 08:38:00,false,Morning Ride,47.38,"1,383",1:54:52,138,154,2.9,24.7,756,846,9
Running,2025-08-15 10:39:00,false,Lunch Run,5.90,298,0:34:36,131,159,1.7,5:52,37,41,2
Hiking,2025-08-13 16:37:00,false,Hike,5.29,625,1:21:55,102,130,1.0,3.9,292,256,6
Cycling,2025-08-13 11:16:00,false,Lunch Ride,37.95,920,1:25:29,117,142,1.6,26.6,553,499,7
Cycling,2025-08-12 19:08:00,false,Lunch Ride,17.55,277,0:36:51,144,166,2.3,28.6,178,156,3
Running,2025-08-11 07:26:00,false,Lunch Run,9.53,456,0:56:20,150,163,2.9,5:55,64,65,4
Running,2025-08-10 08:48:00,false,Evening Run,9.20,551,0:47:27,160,173,3.4,5:09,193,172,3
Running,2025-08-09 08:30:00,false,Morning Run,6.79,298,0:39:20,145,158,2.4,5:48,57,55,3
Running,2025-08-08 13:28:00,false,Evening Run,2.58,146,0:16:00,156,186,2.2,6:12,55,59,1
Cycling,2025-08-07 13:17:00,false,Club Ride,29.20,694,1:01:08,119,131,1.5,28.7,271,297,5
Cycling,2025-08-06 15:52:00,false,Morning Ride,33.60,744,1:08:19,153,181,3.3,29.5,139,142,5
Cycling,2025-08-03 19:30:00,false,Club Ride,29.64,841,1:24:45,145,163,3.0,21.0,433,417,7
Running,2025-08-03 14:10:00,false,Morning Run,4.12,231,0:27:04,158,185,2.8,6:34,52,55,2
Cycling,2025-08-02 15:35:00,false,Lunch Ride,50.60,869,1:50:35,134,157,2.6,27.5,707,748,9
Hiking,2025-08-02 06:47:00,false,Hike,9.54,906,2:00:27,131,144,2.5,4.8,664,626,10
Cycling,2025-08-01 18:22:00,false,Evening Ride,40.86,705,1:32:14,138,158,2.7,26.6,578,607,7
Cycling,2025-07-29 19:12:00,false,Morning Ride,34.41,863,1:20:38,132,154,2.2,25.6,421,442,6
Running,2025-07-26 11:31:00,false,Morning Run,6.63,466,0:36:01,158,187,3.0,5:26,72,62,3
Cycling,2025-07-25 08:32:00,false,Lunch Ride,44.04,986,1:38:27,122,146,1.9,26.8,553,478,8
Running,2025-07-24 16:13:00,false,Long Run,5.61,319,0:34:44,146,175,2.3,6:11,43,38,2
Running,2025-07-23 08:28:00,false,Long Run,9.89,784,1:02:58,146,169,2.8,6:22,198,178,5
Cycling,2025-07-22 13:27:00,false,Morning Ride,30.76,523,1:10:20,112,136,1.3,26.2,235,264,5
Running,2025-07-20 16:10:00,false,Lunch Run,7.39,559,0:45:40,153,180,2.9,6:11,134,127,3
Cycling,2025-07-20 07:27:00,false,Morning Ride,12.10,298,0:31:27,132,154,1.7,23.1,94,108,2
Walking,2025-07-19 12:00:00,false,Untitled,0.01,--,0:00:57,--,--,0.0,0.0,--,--,1
Cycling,2025-07-18 17:54:00,false,Evening Ride,31.04,759,1:09:11,143,170,2.7,26.9,131,147,5
Hiking,2025-07-17 12:37:00,false,Hike,8.69,"1,243",2:16:30,96,124,1.0,3.8,493,518,11
Running,2025-07-12 11:51:00,false,Lunch Run,11.16,813,1:10:55,139,168,2.5,6:21,164,143,5
Cycling,2025-07-11 11:10:00,false,Evening Ride,30.84,799,1:11:13,117,143,1.5,26.0,379,328,5
Cycling,2025-07-10 16:30:00,false,Morning Ride,42.18,861,1:19:47,131,157,2.2,31.7,445,387,6
Cycling,2025-07-08 18:29:00,false,Lunch Ride,38.59,721,1:17:45,111,124,1.3,29.8,522,592,6
Cycling,2025-07-07 10:49:00,false,Lunch Ride,35.20,"1,036",1:21:35,151,164,3.4,25.9,419,370,6
Cycling,2025-07-05 11:15:00,false,Morning Ride,54.89,953,1:41:52,142,167,3.0,32.3,573,557,8
Walking,2025-07-03 05:22:00,false,Walk,3.61,396,0:47:19,96,120,0.7,4.6,14,16,3
Cycling,2025-07-01 18:14:00,false,Lunch Ride,10.52,226,0:22:00,127,154,1.3,28.7,101,116,1
Cycling,2025-07-01 05:13:00,false,Evening Ride,49.41,926,1:43:44,143,170,3.1,28.6,408,388,8
Cycling,2025-06-30 09:03:00,false,Morning Ride,9.38,175,0:22:00,124,142,1.2,25.6,89,102,1
Cycling,2025-06-27 18:52:00,false,Evening Ride,18.16,428,0:37:27,139,168,2.0,29.1,145,160,3
Walking,2025-05-23 12:00:00,false,Untitled,0.01,--,0:00:49,--,--,0.0,0.0,--,--,1
Cycling,2025-04-14 12:00:00,false,Untitled,0.01,--,0:00:13,--,--,0.0,0.0,--,--,1
Cycling,2025-03-29 16:31:00,false,Morning Ride,34.42,782,1:18:37,135,150,2.3,26.3,174,152,6
Cycling,2025-03-28 13:56:00,false,Lunch Ride,17.42,423,0:39:07,136,163,2.0,26.7,254,220,3
Walking,2025-03-27 18:32:00,false,Walk,3.54,457,0:48:38,89,114,0.6,4.4,8,8,4
Running,2025-03-27 13:39:00,false,Evening Run,15.91,990,1:28:41,158,176,4.0,5:34,90,98,7
Cycling,2025-03-26 16:18:00,false,Lunch Ride,22.57,464,0:55:09,124,151,1.6,24.6,284,261,4
Running,2025-03-25 10:12:00,false,Morning Run,10.96,566,1:05:55,150,171,3.1,6:01,72,70,5
Running,2025-03-21 09:18:00,false,Evening Run,9.40,620,0:54:58,161,177,3.6,5:51,58,65,4
Cycling,2025-03-19 18:27:00,false,Morning Ride,66.90,"1,241",2:13:07,117,138,1.8,30.2,1031,1177,11
Cycling,2025-03-18 14:38:00,false,Club Ride,34.12,573,1:13:01,118,133,1.5,28.0,137,137,6
Cycling,2025-03-18 09:19:00,false,Lunch Ride,16.18,439,0:34:17,140,160,2.0,28.3,197,181,2
Running,2025-03-16 14:12:00,false,Long Run,7.29,531,0:43:12,153,179,2.9,5:56,53,51,3
Running,2025-03-14 10:51:00,false,Lunch Run,9.01,428,0:49:46,149,162,2.8,5:31,70,64,4
Running,2025-03-13 14:19:00,false,Long Run,7.85,530,0:50:28,149,178,2.8,6:26,148,136,4
Cycling,2025-03-13 12:59:00,false,Evening Ride,9.96,272,0:22:00,146,175,2.0,27.2,119,120,1
Running,2025-03-06 11:19:00,false,Long Run,3.11,190,0:19:32,160,173,2.6,6:16,53,55,1
Cycling,2025-03-04 06:34:00,false,Morning Ride,37.35,683,1:17:40,146,166,3.0,28.9,414,471,6
Cycling,2025-03-03 05:08:00,false,Lunch Ride,14.42,359,0:30:30,130,158,1.6,28.4,111,117,2
Running,2025-02-24 19:26:00,false,Long Run,8.52,607,0:48:53,131,155,1.9,5:44,140,121,4
Cycling,2025-02-10 14:19:00,false,Lunch Ride,39.73,736,1:20:16,139,159,2.6,29.7,287,329,6
Running,2025-02-08 15:57:00,false,Lunch Run,8.22,566,0:47:58,141,170,2.3,5:50,164,148,3
Walking,2025-02-06 05:48:00,false,Walk,4.03,312,0:44:15,84,101,0.5,5.5,20,18,3
Running,2025-02-01 10:37:00,false,Evening Run,8.82,481,0:50:08,156,183,3.2,5:41,117,127,4
Running,2025-01-31 06:31:00,false,Lunch Run,3.06,143,0:16:00,154,184,2.1,5:14,64,64,1
Cycling,2025-01-29 12:45:00,false,Club Ride,27.52,630,0:52:17,136,164,2.1,31.6,440,398,4
Cycling,2025-01-22 16:35:00,false,Evening Ride,40.49,"1,097",1:34:42,144,171,3.1,25.7,619,558,7
